city,long,lat
The Wall,145,570
Winterfell,95,525
White Harbor,140,480
Gulltown,190,408
Braavos,228,445
Lorath,260,430
Lannisport,60,375
Kings Landing,140,355
Oldtown,60,290
Pentos,230,360
Norvos,280,390
Qohor,320,370
Lotus Port,210,165
Lys,240,260
Tyrosh,210,310
Myr,250,315
Volantis,310,265
Mantarys,375,275
Elyria,385,260
Saath,375,420
Morosh,390,435
New Ghis,455,190
Astapor,440,250
Yunkai,445,280
Meereen,453,290
Hesh,490,290
Lhazosh,500,275
Kosrak,520,290
Port Yhos,517,220
Vahar,580,165
Faros,580,190
Qarkash,555,225
Qarth,590,220
Asabhad,625,225
Yin,680,190
Port Moraq,608,130
Zabhad,625,110
Asshai,775,105
Turrani,725,150
Leng Ma,725,170
Leng Yi,725,195
Jinqi,745,200
Carcosa,850,220
City of the Winged Men,830,250
KDath,802,325
Nefer,755,385
Trader Town,685,305
Tiqui,675,275
Bayasabhad,625,270
Samyriana,610,310
Kayakayanaya,625,380
Vaes Dothrak,545,390
Ib Sar,590,460
New Ibbish,550,450
Port of Ibben,550,490
Ib Nor,555,525
